image_path,image_name,category,stimulus_number,clothing_type,.thisRepN,.thisTrialN,.thisN,.thisIndex,thisRow.t,notes,participant,session,counterbalance,block_number,block_name,trial_in_block,trial_global,required_action,response_key,response_source,response_action,correct,rt,participant,session,counterbalance,
/Users/geertmuller/Library/Mobile Documents/com~apple~CloudDocs/Behavioural Science RU/Compulsory/MRP_TASKS/MRP_AAT/material/shc_aat_material/background_fhc/fhc8.png,fhc8.png,FHC,8,pants,0,28,28,48,,,1337,001,B,1,Incongruent,29,29,approach,q,keyboard_button,approach,1,0.4721519589948002,1337,001,B,
/Users/geertmuller/Library/Mobile Documents/com~apple~CloudDocs/Behavioural Science RU/Compulsory/MRP_TASKS/MRP_AAT/material/shc_aat_material/background_shc/shc23.png,shc23.png,SHC,23,beanie,0,29,29,15,,,1337,001,B,1,Incongruent,30,30,avoid,m,keyboard_button,avoid,1,0.3519508329918608,1337,001,B,
/Users/geertmuller/Library/Mobile Documents/com~apple~CloudDocs/Behavioural Science RU/Compulsory/MRP_TASKS/MRP_AAT/material/shc_aat_material/background_shc/shc2.png,shc2.png,SHC,2,shirt,0,30,30,11,,,1337,001,B,1,Incongruent,31,31,avoid,q,keyboard_button,approach,0,0.6337066249980126,1337,001,B,
/Users/geertmuller/Library/Mobile Documents/com~apple~CloudDocs/Behavioural Science RU/Compulsory/MRP_TASKS/MRP_AAT/material/shc_aat_material/background_shc/shc11.png,shc11.png,SHC,11,jacket,0,31,31,2,,,1337,001,B,1,Incongruent,32,32,avoid,q,keyboard_button,approach,0,0.6592484579887241,1337,001,B,
/Users/geertmuller/Library/Mobile Documents/com~apple~CloudDocs/Behavioural Science RU/Compulsory/MRP_TASKS/MRP_AAT/material/shc_aat_material/background_shc/shc21.png,shc21.png,SHC,21,beanie,0,32,32,13,,,1337,001,B,1,Incongruent,33,33,avoid,q,keyboard_button,approach,0,0.5926649169996381,1337,001,B,
/Users/geertmuller/Library/Mobile Documents/com~apple~CloudDocs/Behavioural Science RU/Compulsory/MRP_TASKS/MRP_AAT/material/shc_aat_material/background_fhc/fhc23.png,fhc23.png,FHC,23,beanie,0,33,33,40,,,1337,001,B,1,Incongruent,34,34,approach,q,keyboard_button,approach,1,0.49840983300236985,1337,001,B,
/Users/geertmuller/Library/Mobile Documents/com~apple~CloudDocs/Behavioural Science RU/Compulsory/MRP_TASKS/MRP_AAT/material/shc_aat_material/background_fhc/fhc21.png,fhc21.png,FHC,21,beanie,0,34,34,38,,,1337,001,B,1,Incongruent,35,35,approach,q,keyboard_button,approach,1,0.49013929200009443,1337,001,B,
/Users/geertmuller/Library/Mobile Documents/com~apple~CloudDocs/Behavioural Science RU/Compulsory/MRP_TASKS/MRP_AAT/material/shc_aat_material/background_shc/shc9.png,shc9.png,SHC,9,pants,0,35,35,24,,,1337,001,B,1,Incongruent,36,36,avoid,m,keyboard_button,avoid,1,0.5357530420005787,1337,001,B,
/Users/geertmuller/Library/Mobile Documents/com~apple~CloudDocs/Behavioural Science RU/Compulsory/MRP_TASKS/MRP_AAT/material/shc_aat_material/background_fhc/fhc1.png,fhc1.png,FHC,1,shirt,0,36,36,25,,,1337,001,B,1,Incongruent,37,37,approach,q,keyboard_button,approach,1,0.7044498750183266,1337,001,B,
/Users/geertmuller/Library/Mobile Documents/com~apple~CloudDocs/Behavioural Science RU/Compulsory/MRP_TASKS/MRP_AAT/material/shc_aat_material/background_fhc/fhc7.png,fhc7.png,FHC,7,pants,0,37,37,47,,,1337,001,B,1,Incongruent,38,38,approach,q,keyboard_button,approach,1,0.6807764159748331,1337,001,B,
/Users/geertmuller/Library/Mobile Documents/com~apple~CloudDocs/Behavioural Science RU/Compulsory/MRP_TASKS/MRP_AAT/material/shc_aat_material/background_fhc/fhc4.png,fhc4.png,FHC,4,shirt,0,38,38,44,,,1337,001,B,1,Incongruent,39,39,approach,m,keyboard_button,avoid,0,0.6180777499976102,1337,001,B,
/Users/geertmuller/Library/Mobile Documents/com~apple~CloudDocs/Behavioural Science RU/Compulsory/MRP_TASKS/MRP_AAT/material/shc_aat_material/background_shc/shc18.png,shc18.png,SHC,18,hoodie,0,39,39,9,,,1337,001,B,1,Incongruent,40,40,avoid,m,keyboard_button,avoid,1,0.6293643749959301,1337,001,B,
/Users/geertmuller/Library/Mobile Documents/com~apple~CloudDocs/Behavioural Science RU/Compulsory/MRP_TASKS/MRP_AAT/material/shc_aat_material/background_fhc/fhc10.png,fhc10.png,FHC,10,pants,0,40,40,26,,,1337,001,B,1,Incongruent,41,41,approach,q,keyboard_button,approach,1,0.4979347920161672,1337,001,B,
/Users/geertmuller/Library/Mobile Documents/com~apple~CloudDocs/Behavioural Science RU/Compulsory/MRP_TASKS/MRP_AAT/material/shc_aat_material/background_shc/shc12.png,shc12.png,SHC,12,jacket,0,41,41,3,,,1337,001,B,1,Incongruent,42,42,avoid,m,keyboard_button,avoid,1,0.7126979999884497,1337,001,B,
/Users/geertmuller/Library/Mobile Documents/com~apple~CloudDocs/Behavioural Science RU/Compulsory/MRP_TASKS/MRP_AAT/material/shc_aat_material/background_shc/shc1.png,shc1.png,SHC,1,shirt,0,42,42,0,,,1337,001,B,1,Incongruent,43,43,avoid,m,keyboard_button,avoid,1,0.7481382500263862,1337,001,B,
/Users/geertmuller/Library/Mobile Documents/com~apple~CloudDocs/Behavioural Science RU/Compulsory/MRP_TASKS/MRP_AAT/material/shc_aat_material/background_fhc/fhc6.png,fhc6.png,FHC,6,pants,0,43,43,46,,,1337,001,B,1,Incongruent,44,44,approach,q,keyboard_button,approach,1,0.6519900420098566,1337,001,B,
/Users/geertmuller/Library/Mobile Documents/com~apple~CloudDocs/Behavioural Science RU/Compulsory/MRP_TASKS/MRP_AAT/material/shc_aat_material/background_shc/shc3.png,shc3.png,SHC,3,shirt,0,44,44,18,,,1337,001,B,1,Incongruent,45,45,avoid,m,keyboard_button,avoid,1,0.5520597909926437,1337,001,B,
/Users/geertmuller/Library/Mobile Documents/com~apple~CloudDocs/Behavioural Science RU/Compulsory/MRP_TASKS/MRP_AAT/material/shc_aat_material/background_fhc/fhc12.png,fhc12.png,FHC,12,jacket,0,45,45,28,,,1337,001,B,1,Incongruent,46,46,approach,q,keyboard_button,approach,1,0.534739292023005,1337,001,B,
/Users/geertmuller/Library/Mobile Documents/com~apple~CloudDocs/Behavioural Science RU/Compulsory/MRP_TASKS/MRP_AAT/material/shc_aat_material/background_fhc/fhc24.png,fhc24.png,FHC,24,beanie,0,46,46,41,,,1337,001,B,1,Incongruent,47,47,approach,q,keyboard_button,approach,1,1.3195488750061486,1337,001,B,
/Users/geertmuller/Library/Mobile Documents/com~apple~CloudDocs/Behavioural Science RU/Compulsory/MRP_TASKS/MRP_AAT/material/shc_aat_material/background_fhc/fhc20.png,fhc20.png,FHC,20,hoodie,0,47,47,37,,,1337,001,B,1,Incongruent,48,48,approach,q,keyboard_button,approach,1,0.6194549580104649,1337,001,B,
/Users/geertmuller/Library/Mobile Documents/com~apple~CloudDocs/Behavioural Science RU/Compulsory/MRP_TASKS/MRP_AAT/material/shc_aat_material/background_shc/shc20.png,shc20.png,SHC,20,hoodie,0,48,48,12,,,1337,001,B,1,Incongruent,49,49,avoid,m,keyboard_button,avoid,1,0.5342454999918118,1337,001,B,
/Users/geertmuller/Library/Mobile Documents/com~apple~CloudDocs/Behavioural Science RU/Compulsory/MRP_TASKS/MRP_AAT/material/shc_aat_material/background_shc/shc6.png,shc6.png,SHC,6,pants,0,49,49,21,,,1337,001,B,1,Incongruent,50,50,avoid,m,keyboard_button,avoid,1,0.4592310829902999,1337,001,B,
/Users/geertmuller/Library/Mobile Documents/com~apple~CloudDocs/Behavioural Science RU/Compulsory/MRP_TASKS/MRP_AAT/material/shc_aat_material/background_shc/shc6.png,shc6.png,SHC,6,pants,0,0,0,21,,,1337,001,B,2,Congruent,1,51,approach,q,keyboard_button,approach,1,1.4049103339784779,1337,001,B,
/Users/geertmuller/Library/Mobile Documents/com~apple~CloudDocs/Behavioural Science RU/Compulsory/MRP_TASKS/MRP_AAT/material/shc_aat_material/background_fhc/fhc18.png,fhc18.png,FHC,18,hoodie,0,1,1,34,,,1337,001,B,2,Congruent,2,52,avoid,m,keyboard_button,avoid,1,0.9726412080053706,1337,001,B,
/Users/geertmuller/Library/Mobile Documents/com~apple~CloudDocs/Behavioural Science RU/Compulsory/MRP_TASKS/MRP_AAT/material/shc_aat_material/background_shc/shc13.png,shc13.png,SHC,13,jacket,0,2,2,4,,,1337,001,B,2,Congruent,3,53,approach,q,keyboard_button,approach,1,1.3902947919850703,1337,001,B,
