image_path,image_name,category,stimulus_number,clothing_type,.thisRepN,.thisTrialN,.thisN,.thisIndex,thisRow.t,notes,participant,session,counterbalance,block_number,block_name,trial_in_block,trial_global,required_action,response_key,response_action,correct,rt,participant,session,counterbalance,
vaast images and script/fhc25.png,fhc25.png,FHC,25,beanie,0,6,6,17,,,001,001,B,2,Congruent,7,57,avoid,up,avoid,1,1.9012137919999077,001,001,B,
vaast images and script/shc2.png,shc2.png,SHC,2,shirt,0,7,7,36,,,001,001,B,2,Congruent,8,58,approach,down,approach,1,0.9290067499969155,001,001,B,
vaast images and script/shc21.png,shc21.png,SHC,21,beanie,0,8,8,38,,,001,001,B,2,Congruent,9,59,approach,down,approach,1,0.7480356669984758,001,001,B,
vaast images and script/fhc8.png,fhc8.png,FHC,8,pants,0,9,9,23,,,001,001,B,2,Congruent,10,60,avoid,up,avoid,1,0.561269292003999,001,001,B,
vaast images and script/shc14.png,shc14.png,SHC,14,jacket,0,10,10,30,,,001,001,B,2,Congruent,11,61,approach,down,approach,1,0.843980208002904,001,001,B,
vaast images and script/fhc22.png,fhc22.png,FHC,22,beanie,0,11,11,14,,,001,001,B,2,Congruent,12,62,avoid,up,avoid,1,1.5454056250018766,001,001,B,
vaast images and script/shc23.png,shc23.png,SHC,23,beanie,0,12,12,40,,,001,001,B,2,Congruent,13,63,approach,down,approach,1,1.2642867920003482,001,001,B,
vaast images and script/shc17.png,shc17.png,SHC,17,hoodie,0,13,13,33,,,001,001,B,2,Congruent,14,64,approach,down,approach,1,0.8148189170024125,001,001,B,
vaast images and script/fhc21.png,fhc21.png,FHC,21,beanie,0,14,14,13,,,001,001,B,2,Congruent,15,65,avoid,up,avoid,1,1.9918641249969369,001,001,B,
vaast images and script/fhc13.png,fhc13.png,FHC,13,jacket,0,15,15,4,,,001,001,B,2,Congruent,16,66,avoid,None,None,0,None,001,001,B,
vaast images and script/shc25.png,shc25.png,SHC,25,beanie,0,16,16,42,,,001,001,B,2,Congruent,17,67,approach,down,approach,1,0.6479114169997047,001,001,B,
vaast images and script/fhc15.png,fhc15.png,FHC,15,jacket,0,17,17,6,,,001,001,B,2,Congruent,18,68,avoid,up,avoid,1,0.8938830409970251,001,001,B,
vaast images and script/fhc14.png,fhc14.png,FHC,14,jacket,0,18,18,5,,,001,001,B,2,Congruent,19,69,avoid,up,avoid,1,0.9542897919964162,001,001,B,
vaast images and script/shc24.png,shc24.png,SHC,24,beanie,0,19,19,41,,,001,001,B,2,Congruent,20,70,approach,down,approach,1,0.5352935830014758,001,001,B,
vaast images and script/shc3.png,shc3.png,SHC,3,shirt,0,20,20,43,,,001,001,B,2,Congruent,21,71,approach,up,avoid,0,0.44677866699930746,001,001,B,
vaast images and script/fhc1.png,fhc1.png,FHC,1,shirt,0,21,21,0,,,001,001,B,2,Congruent,22,72,avoid,up,avoid,1,0.7928072920039995,001,001,B,
vaast images and script/fhc6.png,fhc6.png,FHC,6,pants,0,22,22,21,,,001,001,B,2,Congruent,23,73,avoid,up,avoid,1,0.7150025000009919,001,001,B,
vaast images and script/fhc17.png,fhc17.png,FHC,17,hoodie,0,23,23,8,,,001,001,B,2,Congruent,24,74,avoid,up,avoid,1,0.41292858400265686,001,001,B,
vaast images and script/shc15.png,shc15.png,SHC,15,jacket,0,24,24,31,,,001,001,B,2,Congruent,25,75,approach,down,approach,1,0.8438903749993187,001,001,B,
vaast images and script/shc9.png,shc9.png,SHC,9,pants,0,25,25,49,,,001,001,B,2,Congruent,26,76,approach,down,approach,1,0.6783894589971169,001,001,B,
vaast images and script/fhc4.png,fhc4.png,FHC,4,shirt,0,26,26,19,,,001,001,B,2,Congruent,27,77,avoid,up,avoid,1,1.970375958000659,001,001,B,
vaast images and script/fhc19.png,fhc19.png,FHC,19,hoodie,0,27,27,10,,,001,001,B,2,Congruent,28,78,avoid,None,None,0,None,001,001,B,
vaast images and script/fhc2.png,fhc2.png,FHC,2,shirt,0,28,28,11,,,001,001,B,2,Congruent,29,79,avoid,up,avoid,1,-0.8153815000041504,001,001,B,
vaast images and script/shc5.png,shc5.png,SHC,5,shirt,0,29,29,45,,,001,001,B,2,Congruent,30,80,approach,down,approach,1,0.5132498750026571,001,001,B,
vaast images and script/shc18.png,shc18.png,SHC,18,hoodie,0,30,30,34,,,001,001,B,2,Congruent,31,81,approach,down,approach,1,0.6695082090009237,001,001,B,
vaast images and script/fhc12.png,fhc12.png,FHC,12,jacket,0,31,31,3,,,001,001,B,2,Congruent,32,82,avoid,down,approach,0,0.7172565419969033,001,001,B,
vaast images and script/fhc23.png,fhc23.png,FHC,23,beanie,0,32,32,15,,,001,001,B,2,Congruent,33,83,avoid,down,approach,0,-1.4684172089982894,001,001,B,
vaast images and script/shc16.png,shc16.png,SHC,16,hoodie,0,33,33,32,,,001,001,B,2,Congruent,34,84,approach,up,avoid,0,-0.9401999159963452,001,001,B,
vaast images and script/shc10.png,shc10.png,SHC,10,pants,0,34,34,26,,,001,001,B,2,Congruent,35,85,approach,down,approach,1,0.8440035410021665,001,001,B,
vaast images and script/fhc9.png,fhc9.png,FHC,9,pants,0,35,35,24,,,001,001,B,2,Congruent,36,86,avoid,up,avoid,1,0.7626203749969136,001,001,B,
vaast images and script/shc12.png,shc12.png,SHC,12,jacket,0,36,36,28,,,001,001,B,2,Congruent,37,87,approach,up,avoid,0,1.4842421670036856,001,001,B,
vaast images and script/shc22.png,shc22.png,SHC,22,beanie,0,37,37,39,,,001,001,B,2,Congruent,38,88,approach,down,approach,1,0.5680262919995585,001,001,B,
vaast images and script/fhc24.png,fhc24.png,FHC,24,beanie,0,38,38,16,,,001,001,B,2,Congruent,39,89,avoid,up,avoid,1,1.2299595830045291,001,001,B,
vaast images and script/fhc18.png,fhc18.png,FHC,18,hoodie,0,39,39,9,,,001,001,B,2,Congruent,40,90,avoid,up,avoid,1,0.9119006249966333,001,001,B,
vaast images and script/shc13.png,shc13.png,SHC,13,jacket,0,40,40,29,,,001,001,B,2,Congruent,41,91,approach,down,approach,1,0.6584259580049547,001,001,B,
vaast images and script/fhc7.png,fhc7.png,FHC,7,pants,0,41,41,22,,,001,001,B,2,Congruent,42,92,avoid,up,avoid,1,1.2639704999965033,001,001,B,
vaast images and script/fhc16.png,fhc16.png,FHC,16,hoodie,0,42,42,7,,,001,001,B,2,Congruent,43,93,avoid,up,avoid,1,0.6460835420002695,001,001,B,
vaast images and script/shc20.png,shc20.png,SHC,20,hoodie,0,43,43,37,,,001,001,B,2,Congruent,44,94,approach,down,approach,1,0.7167787090002093,001,001,B,
vaast images and script/shc1.png,shc1.png,SHC,1,shirt,0,44,44,25,,,001,001,B,2,Congruent,45,95,approach,down,approach,1,0.6938967080059228,001,001,B,
vaast images and script/fhc10.png,fhc10.png,FHC,10,pants,0,45,45,1,,,001,001,B,2,Congruent,46,96,avoid,up,avoid,1,0.6920617499999935,001,001,B,
vaast images and script/fhc20.png,fhc20.png,FHC,20,hoodie,0,46,46,12,,,001,001,B,2,Congruent,47,97,avoid,up,avoid,1,0.6684288750038831,001,001,B,
vaast images and script/shc7.png,shc7.png,SHC,7,pants,0,47,47,47,,,001,001,B,2,Congruent,48,98,approach,down,approach,1,0.851999334001448,001,001,B,
vaast images and script/fhc3.png,fhc3.png,FHC,3,shirt,0,48,48,18,,,001,001,B,2,Congruent,49,99,avoid,up,avoid,1,1.4650105829932727,001,001,B,
vaast images and script/shc8.png,shc8.png,SHC,8,pants,0,49,49,48,,,001,001,B,2,Congruent,50,100,approach,down,approach,1,0.7030255419958849,001,001,B,
